Event Type,C2S ID,Source,Source Port(s),Destination,Destination Port(s),Start Time (UTC),Stop Time (UTC)
scan /usr/bin/nmap,43577.0,195.171.85.28,0.0,172.28.18.197,1257 3128,2009-11-03 14:26:00,2009-11-03 14:26:00
scan /usr/bin/nmap,43578.0,195.171.85.28,0.0,172.28.18.147,1257 3128,2009-11-03 14:26:00,2009-11-03 14:26:00
scan /usr/bin/nmap,43579.0,195.171.85.28,0.0,172.28.18.241,1257 3128,2009-11-03 14:26:00,2009-11-03 14:26:00
scan /usr/bin/nmap,43580.0,195.171.85.28,0.0,172.28.18.83,1257 3128,2009-11-03 14:26:00,2009-11-03 14:26:00
scan /usr/bin/nmap,43581.0,195.171.85.28,0.0,172.28.18.213,1257 3128,2009-11-03 14:26:00,2009-11-03 14:26:00
scan /usr/bin/nmap,43582.0,195.171.85.28,0.0,172.28.18.146,1257 3128,2009-11-03 14:26:00,2009-11-03 14:26:00
scan /usr/bin/nmap,43583.0,195.171.85.28,0.0,172.28.18.111,1257 3128,2009-11-03 14:26:00,2009-11-03 14:26:00
scan /usr/bin/nmap,43584.0,195.171.85.28,0.0,172.28.18.68,1257 3128,2009-11-03 14:26:00,2009-11-03 14:26:00
scan /usr/bin/nmap,43585.0,195.171.85.28,0.0,172.28.18.41,1257 3128,2009-11-03 14:26:00,2009-11-03 14:26:00
scan /usr/bin/nmap,43586.0,195.171.85.28,0.0,172.28.18.59,1257 3128,2009-11-03 14:26:00,2009-11-03 14:26:00
scan /usr/bin/nmap,43587.0,195.171.85.28,0.0,172.28.18.98,1257 3128,2009-11-03 14:26:00,2009-11-03 14:26:00
scan /usr/bin/nmap,43588.0,195.171.85.28,0.0,172.28.18.174,1257 3128,2009-11-03 14:26:00,2009-11-03 14:26:00
scan /usr/bin/nmap,43589.0,195.171.85.28,0.0,172.28.18.18,1257 3128,2009-11-03 14:26:00,2009-11-03 14:26:00
phishing email exploit/malware/trawler,43590.0,24.252.33.237,0.0,172.28.1.5,25,2009-11-03 14:01:00,2009-11-03 14:01:00
phishing email exploit/malware/trawler,43591.0,24.252.33.237,0.0,172.28.192.5,25,2009-11-03 14:01:00,2009-11-03 14:01:00
post-phishing c2 exploit/malware/malclient.pl,43592.0,172.28.221.155,0.0,24.252.33.237,80,2009-11-03 14:04:00,2009-11-03 14:04:00
post-phishing c2 + tcp control channel exfil explo,43593.0,172.28.221.155,0.0,24.252.33.237,80,2009-11-03 14:05:00,2009-11-03 14:05:00
post-phishing c2 + tcp control channel exfil explo,43594.0,172.28.221.155,0.0,24.252.33.237,80,2009-11-03 14:07:00,2009-11-03 14:07:00
post-phishing c2 + tcp control channel exfil explo,43595.0,172.28.221.155,0.0,24.252.33.237,80,2009-11-03 14:09:00,2009-11-03 14:09:00
router-rewrite /home/administrator/attack-scripts/,43596.0,255.255.255.255,0.0,255.255.255.255,0,2009-11-03 14:09:00,2009-11-03 14:11:00
failed attack or scan exploit/bin/iis_nsiislog.pl,43597.0,183.17.157.196,0.0,255.255.255.255,21,2009-11-03 14:15:00,2009-11-03 14:30:00
no precursor client compromise exfil/sams_launch_v,43598.0,172.28.2.93,0.0,34.110.234.33,80,2009-11-03 14:17:00,2009-11-03 14:17:00
phishing email exploit/malware/trawler,43599.0,23.3.252.153,0.0,172.28.1.5,25,2009-11-03 14:20:00,2009-11-03 14:20:00
no precursor client compromise exfil/sams_launch_v,43600.0,172.28.2.93,0.0,28.133.133.90,80,2009-11-03 14:17:00,2009-11-03 14:17:00
phishing email exploit/malware/trawler,43601.0,23.3.252.153,0.0,172.28.128.5,25,2009-11-03 14:20:00,2009-11-03 14:20:00
c2 + control channel exfil - no precursor nc,43602.0,34.110.234.33,0.0,172.28.2.93,10000,2009-11-03 14:19:00,2009-11-03 14:23:00
post-phishing c2 heartbeat exploit/malware/malclie,43603.0,172.28.136.45,0.0,23.3.252.153,80,2009-11-03 14:22:00,2009-11-03 14:22:00
post-phishing c2 exploit/malware/malclient.pl,43604.0,172.28.136.45,0.0,23.3.252.153,80,2009-11-03 14:24:00,2009-11-03 14:24:00
phishing email exploit/malware/trawler,43606.0,130.236.192.227,0.0,172.28.1.5,25,2009-11-03 14:21:00,2009-11-03 14:21:00
phishing email exploit/malware/trawler,43607.0,130.236.192.227,0.0,172.28.192.5,25,2009-11-03 14:21:00,2009-11-03 14:21:00
post-phishing client compromise + malicious downlo,43608.0,172.28.192.134,0.0,130.236.192.227,80,2009-11-03 14:26:00,2009-11-03 14:26:00
post-phishing client compromise + malicious downlo,43609.0,172.28.192.134,0.0,28.133.133.90,80,2009-11-03 14:26:00,2009-11-03 14:26:00
post-phishing c2 + tcp control channel exfil nc,43610.0,130.236.192.227,0.0,172.28.192.134,10000,2009-11-03 14:28:00,2009-11-03 14:28:00
phishing email exploit/malware/trawler,43611.0,138.106.196.169,0.0,172.28.1.5,25,2009-11-03 14:27:00,2009-11-03 14:27:00
post-phishing c2 heartbeat exploit/malware/malclie,43612.0,172.28.29.14,0.0,138.106.196.169,80,2009-11-03 14:29:00,2009-11-03 14:29:00
post-phishing c2 exploit/malware/malclient.pl,43613.0,172.28.29.14,0.0,138.106.196.169,80,2009-11-03 14:31:00,2009-11-03 14:31:00
post-phishing c2 + tcp control channel exfil explo,43614.0,172.28.29.14,0.0,138.106.196.169,80,2009-11-03 14:32:00,2009-11-03 14:32:00
post-phishing c2 exploit/malware/malclient.pl,43615.0,172.28.29.14,0.0,138.106.196.169,80,2009-11-03 14:35:00,2009-11-03 14:35:00
no precursor client compromise exfil/sams_launch_v,43616.0,172.28.218.164,0.0,86.136.211.111,80,2009-11-03 14:30:00,2009-11-03 14:30:00
no precursor client compromise exfil/sams_launch_v,43617.0,172.28.218.164,0.0,28.133.133.90,80,2009-11-03 14:30:00,2009-11-03 14:30:00
c2 + tcp control channel exfil - no precursor nc,43618.0,86.136.211.111,0.0,172.28.218.164,10000,2009-11-03 14:34:00,2009-11-03 14:34:00
scan /usr/bin/nmap,43619.0,32.213.228.43,0.0,172.28.218.123,4899,2009-11-03 14:55:00,2009-11-03 14:55:00
client compromise exfil/sams_launch_vulnerable_cli,43622.0,172.28.212.6,0.0,20.21.128.84,10000,2009-11-03 14:34:00,2009-11-03 14:34:00
c2 remote command execution nc,43623.0,20.21.128.84,0.0,172.28.212.6,10000,2009-11-03 14:40:00,2009-11-03 14:40:00
phishing email exploit/malware/trawler,43624.0,82.144.22.171,0.0,172.28.1.5,25,2009-11-03 14:34:00,2009-11-03 14:34:00
phishing email exploit/malware/trawler,43625.0,82.144.22.171,0.0,172.28.128.5,25,2009-11-03 14:34:00,2009-11-03 14:34:00
phishing email exploit/malware/trawler,43626.0,82.144.22.171,0.0,172.28.192.5,25,2009-11-03 14:34:00,2009-11-03 14:34:00
post-phishing client compromise + malicious downlo,43627.0,172.28.131.125,0.0,82.144.22.171,80,2009-11-03 14:37:00,2009-11-03 14:37:00
post-phishing client compromise + malicious downlo,43628.0,172.28.131.125,0.0,28.133.133.90,80,2009-11-03 14:37:00,2009-11-03 14:37:00
c2+ tcp control channel exfil nc,43629.0,82.144.22.171,0.0,172.28.131.125,10000,2009-11-03 14:41:00,2009-11-03 14:44:00
break-DNS_1_exploit echo,43630.0,16.16.174.174,0.0,172.28.10.6,23,2009-11-03 14:39:00,2009-11-03 14:39:00
phishing email exploit/malware/trawler,43631.0,195.95.157.19,0.0,172.28.1.5,25,2009-11-03 14:47:00,2009-11-03 14:47:00
break-DNS_1 /home/administrator/attack-scripts/sdu,43632.0,255.255.255.255,0.0,255.255.255.255,53,2009-11-03 14:39:00,2009-11-03 14:40:00
phishing email exploit/malware/trawler,43633.0,195.95.157.19,0.0,172.28.128.5,25,2009-11-03 14:47:00,2009-11-03 14:47:00
phishing email exploit/malware/trawler,43634.0,195.95.157.19,0.0,172.28.192.5,25,2009-11-03 14:47:00,2009-11-03 14:47:00
post-phishing client compromise + malicious downlo,43635.0,172.28.132.148,0.0,195.95.157.19,80,2009-11-03 14:50:00,2009-11-03 14:50:00
post-phishing client compromise + malicious downlo,43636.0,172.28.132.148,0.0,28.133.133.90,80,2009-11-03 14:50:00,2009-11-03 14:50:00
post-phishing c2 + tcp control channel exfil nc,43637.0,195.95.157.19,0.0,172.28.132.148,10000,2009-11-03 14:55:00,2009-11-03 14:55:00
phishing email exploit/malware/trawler,43638.0,43.79.200.176,0.0,172.28.1.5,25,2009-11-03 14:50:00,2009-11-03 14:50:00
phishing email exploit/malware/trawler,43639.0,43.79.200.176,0.0,172.28.128.5,25,2009-11-03 14:50:00,2009-11-03 14:50:00
post-phishing c2 heartbeat exploit/malware/malclie,43640.0,172.28.133.86,0.0,43.79.200.176,25,2009-11-03 14:52:00,2009-11-03 14:52:00
post-phishing c2 exploit/malware/malclient.pl,43641.0,172.28.133.86,0.0,43.79.200.176,25,2009-11-03 14:54:00,2009-11-03 14:54:00
post-phishing c2 + tcp control channel exfil explo,43642.0,172.28.133.86,0.0,43.79.200.176,25,2009-11-03 14:56:00,2009-11-03 14:56:00
failed attack or scan exploit/bin/iis_nsiislog.pl,43643.0,199.202.245.103,0.0,255.255.255.255,80,2009-11-03 14:50:00,2009-11-03 15:05:00
failed attack or scan exploit/bin/iis_nsiislog.pl,43644.0,112.218.153.61,0.0,255.255.255.255,21,2009-11-03 14:50:00,2009-11-03 15:05:00
phishing email exploit/malware/trawler,43645.0,130.149.81.31,0.0,172.28.1.5,25,2009-11-03 14:52:00,2009-11-03 14:52:00
post-phishing client compromise + malicious downlo,43646.0,172.28.6.134,0.0,130.149.81.31,80,2009-11-03 14:56:00,2009-11-03 14:56:00
post-phishing client compromise + malicious downlo,43647.0,172.28.6.134,0.0,28.133.133.90,80,2009-11-03 14:56:00,2009-11-03 14:56:00
post-phishing c2 + tcp control channel exfil nc,43648.0,130.149.81.31,0.0,172.28.6.134,10000,2009-11-03 15:01:00,2009-11-03 15:01:00
scan /usr/bin/nmap,43649.0,193.168.132.153,10468.0,172.28.147.136,45248,2009-11-03 15:46:00,2009-11-03 15:46:00
scan /usr/bin/nmap,43650.0,195.171.85.28,0.0,172.28.18.197,1257 3128,2009-11-03 15:48:00,2009-11-03 15:48:00
scan /usr/bin/nmap,43651.0,195.171.85.28,0.0,172.28.18.147,1257 3128,2009-11-03 15:48:00,2009-11-03 15:48:00
scan /usr/bin/nmap,43652.0,195.171.85.28,0.0,172.28.18.241,1257 3128,2009-11-03 15:48:00,2009-11-03 15:48:00
scan /usr/bin/nmap,43653.0,195.171.85.28,0.0,172.28.18.83,1257 3128,2009-11-03 15:48:00,2009-11-03 15:48:00
scan /usr/bin/nmap,43654.0,195.171.85.28,0.0,172.28.18.213,1257 3128,2009-11-03 15:48:00,2009-11-03 15:48:00
scan /usr/bin/nmap,43655.0,195.171.85.28,0.0,172.28.18.146,1257 3128,2009-11-03 15:48:00,2009-11-03 15:48:00
scan /usr/bin/nmap,43656.0,195.171.85.28,0.0,172.28.18.111,1257 3128,2009-11-03 15:48:00,2009-11-03 15:48:00
client compromise exfil/sams_launch_vulnerable_cli,43657.0,172.28.20.79,0.0,169.197.145.201,10000,2009-11-03 14:53:00,2009-11-03 14:53:00
failed attack or scan exploit/bin/webstar_ftp_user,43658.0,15.174.249.80,0.0,255.255.255.255,21,2009-11-03 14:56:00,2009-11-03 15:12:00
c2 remote command execution nc,43659.0,169.197.145.201,0.0,172.28.20.79,10000,2009-11-03 14:58:00,2009-11-03 14:58:00
scan /usr/bin/nmap,43660.0,195.171.85.28,0.0,172.28.18.68,1257 3128,2009-11-03 15:48:00,2009-11-03 15:48:00
scan /usr/bin/nmap,43661.0,195.171.85.28,0.0,172.28.18.41,1257 3128,2009-11-03 15:48:00,2009-11-03 15:48:00
scan /usr/bin/nmap,43662.0,195.171.85.28,0.0,172.28.18.59,1257 3128,2009-11-03 15:48:00,2009-11-03 15:48:00
scan /usr/bin/nmap,43663.0,195.171.85.28,0.0,172.28.18.98,1257 3128,2009-11-03 15:48:00,2009-11-03 15:48:00
scan /usr/bin/nmap,43664.0,195.171.85.28,0.0,172.28.18.174,1257 3128,2009-11-03 15:48:00,2009-11-03 15:48:00
dns-rewrite /home/administrator/attack-scripts/sdu,43665.0,255.255.255.255,0.0,255.255.255.255,0,2009-11-03 15:01:00,2009-11-03 15:03:00
scan /usr/bin/nmap,43666.0,195.171.85.28,0.0,172.28.18.18,1257 3128,2009-11-03 15:48:00,2009-11-03 15:48:00
failed attack framework-2.6/msfcli cabrightstor_di,43667.0,79.239.45.99,0.0,172.28.194.88,41524,2009-11-03 15:58:00,2009-11-03 15:58:00
failed attack framework-2.6/msfcli cabrightstor_di,43668.0,35.182.39.183,0.0,172.28.134.218,41524,2009-11-03 16:08:00,2009-11-03 16:08:00
scan /usr/bin/nmap,43669.0,32.213.228.43,0.0,172.28.218.123,4899,2009-11-03 16:11:00,2009-11-03 16:11:00
scan /usr/bin/nmap,43670.0,219.160.125.33,42311.0,172.28.74.179,4899,2009-11-03 16:53:00,2009-11-03 16:53:00
phishing email exploit/malware/trawler,43671.0,212.18.56.231,0.0,172.28.1.5,25,2009-11-03 15:03:00,2009-11-03 15:04:00
scan /usr/bin/nmap,43672.0,158.190.85.16,9358.0,172.28.116.90,80,2009-11-03 17:08:00,2009-11-03 17:08:00
post-phishing c2 heartbeat exploit/malware/malclie,43673.0,172.28.13.91,0.0,212.18.56.231,77,2009-11-03 15:05:00,2009-11-03 15:05:00
phishing email exploit/malware/trawler,43674.0,62.197.83.31,0.0,172.28.1.5,25,2009-11-03 15:07:00,2009-11-03 15:07:00
scan /usr/bin/nmap,43675.0,211.144.70.97,40510.0,172.28.154.10,21,2009-11-03 17:11:00,2009-11-03 17:11:00
phishing email exploit/malware/trawler,43676.0,62.197.83.31,0.0,172.28.128.5,25,2009-11-03 15:07:00,2009-11-03 15:07:00
phishing email exploit/malware/trawler,43677.0,62.197.83.31,0.0,172.28.192.5,25,2009-11-03 15:07:00,2009-11-03 15:07:00
post-phishing c2 + tcp control channel exfil explo,43678.0,172.28.13.91,0.0,212.18.56.231,77,2009-11-03 15:07:00,2009-11-03 15:07:00
phishing email exploit/malware/trawler,43679.0,34.252.80.110,0.0,172.28.1.5,25,2009-11-03 15:08:00,2009-11-03 15:08:00
post-phishing c2 heartbeat exploit/malware/malclie,43680.0,172.28.197.133,0.0,62.197.83.31,31337,2009-11-03 15:08:00,2009-11-03 15:08:00
post-phishing c2 + tcp control channel exfil explo,43682.0,172.28.13.91,0.0,212.18.56.231,77,2009-11-03 15:10:00,2009-11-03 15:10:00
post-phishing c2 heartbeat exploit/malware/malclie,43683.0,172.28.131.132,0.0,34.252.80.110,6667,2009-11-03 15:09:00,2009-11-03 15:09:00
post-phishing c2 + tcp control channel exfil explo,43684.0,172.28.197.133,0.0,62.197.83.31,31337,2009-11-03 15:11:00,2009-11-03 15:11:00
post-phishing c2 + tcp control channel exfil explo,43685.0,172.28.197.133,0.0,62.197.83.31,31337,2009-11-03 15:13:00,2009-11-03 15:13:00
post-phishing c2 heartbeat exploit/malware/malclie,43686.0,172.28.30.36,0.0,34.252.80.110,6667,2009-11-03 15:11:00,2009-11-03 15:11:00
post-phishing c2 exploit/malware/malclient.pl,43687.0,172.28.131.132,0.0,34.252.80.110,6667,2009-11-03 15:14:00,2009-11-03 15:14:00
post-phishing c2 exploit/malware/malclient.pl,43688.0,172.28.30.36,0.0,34.252.80.110,6667,2009-11-03 15:16:00,2009-11-03 15:16:00
post-phishing c2 heartbeat exploit/malware/malclie,43689.0,172.28.131.132,0.0,34.252.80.110,6667,2009-11-03 15:18:00,2009-11-03 15:18:00
post-phishing c2 heartbeat exploit/malware/malclie,43690.0,172.28.30.36,0.0,34.252.80.110,6667,2009-11-03 15:20:00,2009-11-03 15:20:00
post-phishing c2 + tcp control channel exfil explo,43691.0,172.28.30.36,0.0,34.252.80.110,6667,2009-11-03 15:22:00,2009-11-03 15:22:00
post-phishing c2 + tcp control channel exfil explo,43692.0,172.28.131.132,0.0,34.252.80.110,6667,2009-11-03 15:25:00,2009-11-03 15:25:00
no precursor client compromise exfil/sams_launch_v,43693.0,172.28.22.159,0.0,185.23.238.137,80,2009-11-03 15:09:00,2009-11-03 15:09:00
phishing email exploit/malware/trawler,43694.0,212.45.250.61,0.0,172.28.128.5,25,2009-11-03 15:10:00,2009-11-03 15:10:00
no precursor client compromise exfil/sams_launch_v,43695.0,172.28.22.159,0.0,28.133.133.90,80,2009-11-03 15:09:00,2009-11-03 15:09:00
post-phishing c2 heartbeat exploit/malware/malclie,43696.0,172.28.192.5,0.0,212.45.250.61,8181,2009-11-03 15:12:00,2009-11-03 15:12:00
c2 + control channel exfil - no precursor nc,43697.0,185.23.238.137,0.0,172.28.22.159,10000,2009-11-03 15:12:00,2009-11-03 15:18:00
post-phishing c2 exploit/malware/malclient.pl,43698.0,172.28.192.5,0.0,212.45.250.61,8181,2009-11-03 15:14:00,2009-11-03 15:14:00
post-phishing c2 exploit/malware/malclient.pl,43699.0,172.28.192.5,0.0,212.45.250.61,8181,2009-11-03 15:19:00,2009-11-03 15:19:00
post-phishing c2 + tcp control channel exfil explo,43700.0,172.28.192.5,0.0,212.45.250.61,8181,2009-11-03 15:21:00,2009-11-03 15:21:00
no precursor client compromise exfil/sams_launch_v,43701.0,172.28.220.52,0.0,134.96.34.207,80,2009-11-03 15:25:00,2009-11-03 15:25:00
no precursor client compromise exfil/sams_launch_v,43702.0,172.28.220.52,0.0,28.133.133.90,80,2009-11-03 15:25:00,2009-11-03 15:25:00
c2+ tcp control channel exfil - no precursor nc,43703.0,134.96.34.207,0.0,172.28.220.52,10000,2009-11-03 15:28:00,2009-11-03 15:28:00
failed attack or scan exploit/bin/webstar_ftp_user,43704.0,42.1.118.156,0.0,255.255.255.255,21,2009-11-03 15:30:00,2009-11-03 15:46:00
no precursor client compromise exfil/sams_launch_v,43705.0,172.28.214.210,0.0,180.165.34.103,80,2009-11-03 15:29:00,2009-11-03 15:29:00
no precursor client compromise exfil/sams_launch_v,43706.0,172.28.214.210,0.0,28.133.133.90,80,2009-11-03 15:29:00,2009-11-03 15:29:00
c2 + tcp control channel exfil - no precursor nc,43707.0,180.165.34.103,0.0,172.28.214.210,10000,2009-11-03 15:34:00,2009-11-03 15:36:00
phishing email exploit/malware/trawler,43708.0,16.225.81.115,0.0,172.28.1.5,25,2009-11-03 15:34:00,2009-11-03 15:34:00
c2 heartbeat exploit/malware/malclient.pl,43709.0,172.28.5.153,0.0,16.225.81.115,25,2009-11-03 15:36:00,2009-11-03 15:36:00
c2 exploit/malware/malclient.pl,43710.0,172.28.5.153,0.0,16.225.81.115,25,2009-11-03 15:39:00,2009-11-03 15:39:00
c2 + tcp control channel exfil exploit/malware/mal,43711.0,172.28.5.153,0.0,16.225.81.115,25,2009-11-03 15:41:00,2009-11-03 15:41:00
c2 + tcp control channel exfil exploit/malware/mal,43712.0,172.28.5.153,0.0,16.225.81.115,25,2009-11-03 15:42:00,2009-11-03 15:42:00
c2 + tcp control channel exfil exploit/malware/mal,43713.0,172.28.5.153,0.0,16.225.81.115,25,2009-11-03 15:44:00,2009-11-03 15:44:00
client compromise exfil/sams_launch_vulnerable_cli,43714.0,172.28.212.6,0.0,20.21.128.84,10000,2009-11-03 15:35:00,2009-11-03 15:35:00
c2 remote command execution nc,43715.0,20.21.128.84,0.0,172.28.212.6,10000,2009-11-03 15:42:00,2009-11-03 15:42:00
failed attack or scan exploit/bin/iis_nsiislog.pl,43716.0,139.69.44.14,0.0,255.255.255.255,80,2009-11-03 15:41:00,2009-11-03 15:56:00
no precursor client compromise exfil/sams_launch_v,43717.0,172.28.220.68,0.0,80.37.24.25,80,2009-11-03 15:44:00,2009-11-03 15:44:00
no precursor client compromise exfil/sams_launch_v,43718.0,172.28.220.68,0.0,28.133.133.90,80,2009-11-03 15:44:00,2009-11-03 15:44:00
c2 + tcp control channel exfil - no precursor nc,43719.0,80.37.24.25,0.0,172.28.220.68,10000,2009-11-03 15:50:00,2009-11-03 15:50:00
failed attack exploit/iis-asp-overflow,43720.0,25.178.184.105,0.0,172.28.28.128,80,2009-11-03 15:47:00,2009-11-03 15:47:00
failed attack exploit/iis-asp-overflow,43721.0,25.178.184.105,0.0,172.28.22.186,80,2009-11-03 15:47:00,2009-11-03 15:47:00
failed attack exploit/iis-asp-overflow,43722.0,25.178.184.105,0.0,172.28.6.119,80,2009-11-03 15:47:00,2009-11-03 15:47:00
scan /usr/bin/nmap,43725.0,32.213.228.43,0.0,172.28.218.123,4899,2009-11-03 19:05:00,2009-11-03 19:05:00
failed attack framework-2.6/msfcli cabrightstor_di,43726.0,35.182.39.183,0.0,172.28.134.218,41524,2009-11-03 19:20:00,2009-11-03 19:20:00
scan /usr/bin/nmap,43727.0,19.16.150.30,59406.0,172.28.177.139,3129,2009-11-03 19:38:00,2009-11-03 19:38:00
scan /usr/bin/nmap,43728.0,158.190.85.16,9358.0,172.28.116.90,80,2009-11-03 20:36:00,2009-11-03 20:37:00
scan /usr/bin/nmap,43729.0,151.243.222.89,54527.0,172.28.52.6,22321,2009-11-03 21:07:00,2009-11-03 21:07:00
scan /usr/bin/nmap,43730.0,42.196.162.102,26707.0,172.28.79.227,30860,2009-11-03 21:29:00,2009-11-03 21:29:00
client compromise exfil/sams_launch_vulnerable_cli,43731.0,172.28.20.79,0.0,169.197.145.201,10000,2009-11-03 15:56:00,2009-11-03 15:56:00
c2 remote command execution nc,43732.0,169.197.145.201,0.0,172.28.20.79,10000,2009-11-03 16:02:00,2009-11-03 16:02:00
no precursor client compromise exfil/sams_launch_v,43733.0,172.28.9.211,0.0,40.112.195.63,80,2009-11-03 16:03:00,2009-11-03 16:03:00
no precursor client compromise exfil/sams_launch_v,43734.0,172.28.9.211,0.0,28.133.133.90,80,2009-11-03 16:03:00,2009-11-03 16:03:00
c2+ tcp control channel exfil - no precursor nc,43735.0,40.112.195.63,0.0,172.28.9.211,10000,2009-11-03 16:05:00,2009-11-03 16:05:00
phishing email exploit/malware/trawler,43736.0,44.239.223.135,0.0,172.28.128.5,25,2009-11-03 16:08:00,2009-11-03 16:08:00
post-phishing c2 heartbeat exploit/malware/malclie,43737.0,172.28.128.21,0.0,44.239.223.135,443,2009-11-03 16:11:00,2009-11-03 16:11:00
post-phishing c2 exploit/malware/malclient.pl,43738.0,172.28.128.21,0.0,44.239.223.135,443,2009-11-03 16:12:00,2009-11-03 16:12:00
post-phishing c2 + tcp control channel exfil explo,43739.0,172.28.128.21,0.0,44.239.223.135,443,2009-11-03 16:14:00,2009-11-03 16:14:00
phishing email exploit/malware/trawler,43740.0,115.240.12.124,0.0,172.28.1.5,25,2009-11-03 16:11:00,2009-11-03 16:11:00
phishing email exploit/malware/trawler,43741.0,115.240.12.124,0.0,172.28.128.5,25,2009-11-03 16:11:00,2009-11-03 16:11:00
phishing email exploit/malware/trawler,43742.0,115.240.12.124,0.0,172.28.192.5,25,2009-11-03 16:11:00,2009-11-03 16:11:00
post-phishing client compromise + malicious downlo,43743.0,172.28.10.68,0.0,115.240.12.124,80,2009-11-03 16:14:00,2009-11-03 16:14:00
post-phishing client compromise + malicious downlo,43744.0,172.28.10.68,0.0,28.133.133.90,80,2009-11-03 16:14:00,2009-11-03 16:14:00
post-phishing c2 echo,43745.0,115.240.12.124,0.0,172.28.10.68,10000,2009-11-03 16:18:00,2009-11-03 16:18:00
router-redirect /home/administrator/attack-scripts,43746.0,192.168.61.66,0.0,255.255.255.255,0,2009-11-03 16:11:00,2009-11-03 16:12:00
post-phishing icmp exfil nc,43747.0,172.28.10.68,0.0,115.240.12.124,0,2009-11-03 16:18:00,2009-11-03 16:18:00
failed attack exploit/iis-asp-overflow,43748.0,153.25.121.118,0.0,172.28.28.128,80,2009-11-03 16:11:00,2009-11-03 16:11:00
failed attack exploit/iis-asp-overflow,43749.0,153.25.121.118,0.0,172.28.22.186,80,2009-11-03 16:11:00,2009-11-03 16:12:00
failed attack exploit/iis-asp-overflow,43750.0,153.25.121.118,0.0,172.28.6.119,80,2009-11-03 16:12:00,2009-11-03 16:12:00
phishing email exploit/malware/trawler,43753.0,212.45.250.61,0.0,172.28.128.5,25,2009-11-03 16:25:00,2009-11-03 16:25:00
post-phishing c2 heartbeat exploit/malware/malclie,43754.0,172.28.192.5,0.0,212.45.250.61,8181,2009-11-03 16:27:00,2009-11-03 16:27:00
post-phishing c2 exploit/malware/malclient.pl,43755.0,172.28.192.5,0.0,212.45.250.61,8181,2009-11-03 16:29:00,2009-11-03 16:29:00
